sira,score,mahkeme,daire,esas,kararno,tarih,sinyaller,kesit,konu
11,41,Anayasa,1,2015/12753,,2019-05-08,gebe×76 | travma×45 | illiyet×28 | TCK 87/88 | cenin/düşük,"…anın yapılan muayenesinde lekelenme tarzı vajinal hemoraji (kanama) mevcut. TV-USG&rsquo;de 6wld ile uyumlu CRL, FKA(-) negatif olarak tespit edildi. Missed abortus (embriyonun canlılığını kaybetmesi) tanısıyla yatış önerildi. Durumu bildirir geçici hekim raporudur. Asli rapor adli tabiblikçe verilecektir.&quot; &nbsp; 19. Başvurucu 24/12/2010 tarihinde Cumhuriyet Başsavcılığına verdiği dilekçe ekinde, hakkın…",ANAYASA MAHKEMESİNİN 8/5/2019 TARİHLİ VE 2015/12753 SAYILI KARARI (BİREYSEL BAŞVURU)
12,41,Yargıtay,CG,2020/247,394,2022-06-02,gebe×4 | travma×122 | illiyet×50 | TCK 87/88 | cenin/düşük | trafik/iş kaz,"…itiraz ettiklerini, ...'nin ise \""Bu arkadaşlar Yargıtayı en iyi tanıyan kişiler, bu nedenle çağırdık\"" dediğini, ancak bu hareketin Fetö'cülerin bir emrivakisi olduğunu şu anda daha net anladığını, bu evde kendilerinin aslında Fetö'cü HSYK üyeleri ve yemeğe katılan diğer hâkimlerin belirlediği isimleri öğrenmiş olacaklarını, buna yapının kimleri ve kaç kişi istediğini belirleyebilecekleri bir ön gör…",YARGITAY KARARI
13,41,Yargıtay,CG,2019/427,417,2020-10-15,gebe×12 | travma×48 | illiyet×32 | TCK 87/88 | cenin/düşük,"…ebileceği kabul edilmelidir. Dolayısıyla, kanunda açık ve anlaşılır bir şekilde düzenlenmiş, istisnai nitelikte olan, ilgilisine bildirilmesi yönünde emredici bir hüküm de bulunmayan süreyi, yargı mercilerinin ilgilisine bildirme zorunluluğu bulunduğundan bahsedilemeyecektir. Bu açıklamalar ışığında ön sorun değerlendirildiğinde; İlk derece mahkemesi sıfatıyla yargılama yapan Yargıtay 9. Ceza Dairesi…",YARGITAY KARARI
14,41,Yargıtay,CG,2019/614,199,2021-05-04,gebe×10 | travma×165 | illiyet×33 | TCK 87/88 | cenin/düşük,…dığı ilaç olduğu için fazla da kurcalamadılar zannedersem olayı mevzuyu aile tarafından X şahıs: Ama normalde bu cinayet Kayda alınan şahıs: He bunun emrini memrini veren bu şekle getiren veya işte bilerek veya isteyerek istemeyerek de olsa bu emri veren yemeklerine ilaçları katmasını söyleyen ... kadın da bunu söylüyor zaten kendi ağzından X şahıs: Peki bu adam öldükten sonra sizle görüşmesi nasıl o…,YARGITAY KARARI
15,41,Yargıtay,CG,2021/59,806,2022-12-15,gebe×14 | travma×76 | illiyet×58 | TCK 87/88 | cenin/düşük,"…tleri Komutanı Orgeneral ...'a aktardıkları, havadaki uçuşların sona erdirilmesini ve yeni uçuş gerçekleştirilmemesini sağlamak için beş maddelik bir emrin Hava Kuvvetleri Komutanı Orgeneral ... tarafından hazırlandığı ve bu emrin saat 00.08 itibarıyla tüm hava birliklerine Eskişehir'deki Birleştirilmiş Hava Harekat Merkezi Komutanlığı vasıtasıyla gönderildiği, saat 23.50 civarında kamuflajlı, tam te…",YARGITAY KARARI
16,41,Yargıtay,3,2022/37483,4897,2024-04-04,gebe×43 | travma×212 | illiyet×27 | TCK 87/88 | cenin/düşük,"…suçlardan cezalandırılmaları imkânı bulunmamaktadır. Konusu suç teşkil eden emir hiçbir surette yerine getirilemez. Aksi takdirde yerine getiren ile emri veren sorumlu olur (1982 Anayasasının 137/2, 5237 sayılı Türk Ceza Kanununun 24/3. maddesi). Askeri hizmete müteallik hususlarda verilen emir bir suç teşkil ederse bu suçun işlenmesinden emri veren mesuldür. Ancak amirin emrinin adli ve askeri bir…",YARGITAY KARARI
17,40.5,Yargıtay,1,2024/365,5217,2024-07-10,gebe×9 | travma×108 | illiyet×46 | TCK 87/88 | cenin/düşük,"…nda bu eylemleri gerçekleştirirken mutlaka bir örgüt üyesinin de şahit olarak bulunmasının hatta onun da ilişkiye girmesini talimat ve teammül gereği emretmiştir. Bu kapsamda hedef kız orada sözde erkek arkadaşı ile ilişki yaşarken odaya içecek getirme bahanesiyle çıplak vaziyette diğer örgüt üyesi erkeklerin girdiği, içecek getirme bahanesiyle onlara iltifatlar ettiği, bu kapsamda hedef kızlara elle…",YARGITAY KARARI
18,39.5,Yargıtay,10,2025/6953,15760,2025-11-19,gebe×1 | travma×11 | illiyet×11 | TCK 87/88 | cenin/düşük | trafik/iş kaz,"…i, gündelik işlerini başkalarının yardımı ile yapacak duruma düştüğünü, olay tarihinde hamile olan eşinin yaşadığı üzüntü, sıkıntı ve stres nedeniyle düşük yaptığını, davacının uzun süre yatarak tedavi görmesi nedeniyle uzun süre çocuklarının olmadığını, aile yaşantılarının bozulduğunu, ...'ın ve eşinin uzun süre psikolojik tedavi gördüğünü, olayın işverenin işyerinde gerekli önlemleri almaması nedeniyle g…",YARGITAY KARARI
19,39,Yargıtay,CG,2018/416,669,2022-10-26,gebe×6 | travma×367 | illiyet×33 | TCK 87/88 | cenin/düşük,"…p buradan hazırlattığı pusulayı ... vasıtası ile bize gönderttiğini düşünüyoruz, ... de tape konuşmalarında ...'a 'Hacı bir isteğin var ise ben senin emrindeyim' diyor. ... da ...'a 'Ben senin örgütle olan sıkıntını halledeceğim' diyor, ayrıca ... ... isimli kişinin ...'la olan görüşmesinde ... ... ...'a '... Tendürek buranın hepsi üzerinde duruyor' diyor, bu da bizim iddialarımızı doğrulamaktadır. 0…",YARGITAY KARARI
20,39,Anayasa,1,2018/5075,,2022-03-15,gebe×6 | travma×61 | illiyet×29 | TCK 87/88 | cenin/düşük,"…sıyla ölüm neticesinin meydana gelmesi halinde bu neticenin oluşumuna sebebiyet veren yükümlülük ihmalinin icrai davranışa eşdeğer olması gerektiğini emrettiği, kanunun bu maddesinin ikinci fıkrasında da yükümlülük ihmalinin icrai davranışa eşdeğer kabul edildiği iki hali tahdidi ve tadadi olarak saydığı, katılanlar ve vekilleri sanıkların eylemlerinin bu madde kapsamında kaldığını iddia etmiş iseler…",ANAYASA MAHKEMESİNİN 15/3/2022 TARİHLİ VE 2018/5075 SAYILI KARARI (BİREYSEL BAŞVURU)
21,38.8,Yargıtay,CG,2020/165,273,2021-06-10,gebe×8 | travma×225 | illiyet×9 | TCK 87/88 | cenin/düşük,"…atta medialde arter yaralanması ile uyumlu çıkış deliği olduğu düşünülen yaralanması olduğu, tansiyonunun 80/50 olduğu, acil ameliyata alındığı, 0,88 promil alkollü olduğu, Kalp ve Damar Cerrahi Servisinin hasta dosyasından; hipovolemik şok nedeni ile genel durumunun kötü olduğu, operasyona alındığı, operasyon sırasında kalp ritminin 20-30/ dak, solunumun agonik olduğu, entübe edildiği, sağ alt ekstre…",YARGITAY KARARI
22,38.6,Danıştay,10,2019/6306,4040,2020-10-21,gebe×28 | travma×6 | illiyet×11 | cenin/düşük | obstetrik komp.,"…Kurulunun . tarih ve . sayılı raporunda, zamanında otopsi yapılarak iç organ değişimleri araştırılmamış olmakla birlikte tıbbi belgelere göre bebeğin intrauterin ölümünün preeklampsi ve plasenta dekolmanına bağlı intrauterin anoksi sonucu meydana geldiği, annede tespit edilen ağır preeklampsi hastalığının anne ve bebek hayatını tehdit edici bir durum olduğu, ancak 26. gebelik haftasında annenin durumu kötüleşmed…",DANIŞTAY KARARI
23,38.5,Anayasa,GK,2008/1,2-3,2008-07-30,gebe×5 | travma×63 | illiyet×51 | TCK 87/88 | cenin/düşük,"…saklamış. Müslüman kadınların başörtülerini, saçlarını, başlarını, kulaklarını, boyun ve gerdanlarını örtecek şekilde yakalarının üzerine salmalarını emretmiştir."" ifadeleri de, laiklik karşıtı ve gizli anlamlar yüklü ifadeler değildir. Laiklik karşıtlığıyla açık veya gizli hiçbir ilgisi bulunmayan bir açıklamadan hareketle iddia makamının, açık bir ifadede gizli anlam araması veya niyet okumak suret…",ADALET VE KALKINMA PARTİSİ KARARI 2008/1 E. 2008/2 K. (3. BÖLÜM)
24,38.5,Anayasa,GK,2008/1,2-2,2008-07-30,gebe×5 | travma×46 | illiyet×101 | TCK 87/88 | cenin/düşük,"…inananların sayısı arttı. Siz İslamiyetin bilimi ve bilgiyi en yüksek seviyesine çıkartan bir din olduğunu hayal edebiliyor musunuz? Ve bu dinin ilk emri ""Oku""dur. Ancak dünyadaki 1.5 milyar Müslüman'a baktığınız zaman eğitim düzeylerinin ne düzeyde olduğunu görürsünüz. Sanırım insanlarımız ile ilgili en hazin durum bu. Artık düşünen bir toplum değiliz. Oysa başarıya ulaşmak için düşünmemiz gerekiyo…",ADALET VE KALKINMA PARTİSİ KARARI 2008/1 E. 2008/2 K. (2. BÖLÜM)
25,38.5,Yargıtay,CG,2017/183,19,2022-01-13,gebe×5 | travma×71 | illiyet×13 | TCK 87/88 | cenin/düşük,"…çük olduğundan resmî nikâh yapmadıklarını, maktul ...'in...'de ailesi ile birlikte oturduğu evde 1,5 yıl birlikte yaşadıklarını, iki hamileliğinin de düşük yapması nedeniyle sona erdiğini, daha doğrusu maktul ...’in kendisini dövmesi nedeniyle çocuğun gelişiminin durduğunu, bu nedenlerle kürtaj yaptırdığını ve ailesinin ...'taki evine geri döndüğünü, birliktelikleri bitmeden resmî nikâh için... Asliye Huku…",YARGITAY KARARI
26,38,Danıştay,5,2016/58083,2052,2024-02-28,gebe×4 | travma×16 | illiyet×13 | TCK 87/88 | cenin/düşük,"…met etmesine özel önem verildiği anlaşılmaktadır. a-1) Davacının Eşi İle İlgili Maddi ve Hukuki Süreç Davacının eşi B.K., Kara Kuvvetleri Komutanlığı emrinde yüzbaşı olarak görev yapmakta iken, 668 sayılı Kanun Hükmünde Kararname eki listesinde ismine yer verilmek suretiyle kamu görevinden çıkarılmıştır. B.K. tarafından kamu görevine iade talebiyle OHAL İşlemleri İnceleme Komisyonu'na başvuruda bulun…",DANIŞTAY KARARI
27,38,Danıştay,5,2017/2896,6317,2023-05-17,gebe×4 | travma×19 | illiyet×13 | TCK 87/88 | cenin/düşük,"…laşılmaktadır. b) Davacının Eşi İle İlgili Maddi ve Hukuki Süreç Davacının eşi S.S.P.'nin Kara Kuvvetleri Komutanlığı 58'inci Topçu Tugay Komutanlığı emrinde Topçu Albay rütbesiyle Tugay Komutan Yardımcısı olarak görev yapmakta iken, 668 sayılı Kanun Hükmünde Kararname eki listesinde ismine yer verilmek suretiyle kamu görevinden çıkarılmıştır. Davacının eşi tarafından, göreve iade talebiyle yaptığı b…",DANIŞTAY KARARI
28,38,Anayasa,2,2014/19081,,2017-02-01,gebe×18 | travma×29 | illiyet×5 | TCK 87/88 | cenin/düşük | trafik/iş kaz,…e göre işçinin dört aya kadar ücreti tutarında bir ücretten başka yoksun bırakıldığı haklarını da talep imkanı bulunmaktadır. İş Kanununun 5. maddesi emredici nitelikte olduğundan anılan hükme aykırı olan sözleşme kuralları geçersizdir. Geçersizlik nedeniyle ortaya çıkan kural boşluğu eşit davranma ilkesinin gereklerine uygun olarak doldurulmalıdır. Eşit davranma borcuna aykırılığı ispat yükü işçide…,ANAYASA MAHKEMESİNİN 1/2/2017 TARİHLİ VE 2014/19081 SAYILI KARARI (BİREYSEL BAŞVURU)
29,38,Danıştay,5,2017/10985,20131,2023-12-25,gebe×4 | travma×18 | illiyet×12 | TCK 87/88 | cenin/düşük,"…met etmesine özel önem verildiği anlaşılmaktadır. a-1) Davacının Eşi İle İlgili Maddi ve Hukuki Süreç Davacının eşi R.C. Deniz Kuvvetleri Komutanlığı emrinde yüzbaşı olarak görev yapmakta iken, 692 sayılı Kanun Hükmünde Kararname eki listesinde ismine yer verilmek suretiyle kamu görevinden çıkarılmıştır. R.C.'nin, göreve iade talebiyle yaptığı başvuru OHAL İşlemleri İnceleme Komisyonu'nun … tarih ve…",DANIŞTAY KARARI
30,38,Danıştay,5,2022/3850,10196,2023-07-06,gebe×4 | travma×14 | illiyet×13 | TCK 87/88 | cenin/düşük,"…erildiği anlaşılmaktadır. b-1) Davacının Eşi ile İlgili Maddi ve Hukuki Süreç Davacının eşi Y.A., İçişleri Bakanlığı Hukuk Hizmetleri Genel Müdürlüğü emrinde avukat olarak görev yapmakta iken, 375 sayılı Kanun Hükmünde Kararname'nin Geçici 35. maddesinin (B) fıkrası uyarınca İçişleri Bakanlığının 18/12/2020 tarih ve 18 sayılı işlemiyle kamu görevinden çıkarılmıştır. Davacının eşi tarafından, söz konu…",DANIŞTAY KARARI
31,38,Anayasa,GK,2008/1,2-4,2008-07-30,gebe×4 | travma×55 | illiyet×119 | TCK 87/88 | cenin/düşük,"…rak faaliyette bulunmakla yükümlüdür (Anayasa, m. 129/1) Kamu hizmetlerinde herhangi bir sıfat ve suretle çalışmakta olan kimselerin, üstünden aldığı emri, yönetmelik, tüzük, kanun veya Anayasa hükümlerine aykırı görmesi halinde, yerine getirmez. Bu durumda aykırılığı emri verene bildirir, üstü emrinde ısrar eder ve bu emrini yazı ile yenilerse, emri yerine getirir. Bu halde, emri yerine getiren soru…",ADALET VE KALKINMA PARTİSİ KARARI 2008/1 E. 2008/2 K. (4. BÖLÜM)
32,38,Danıştay,5,2018/2093,11968,2023-09-25,gebe×4 | travma×21 | illiyet×13 | TCK 87/88 | cenin/düşük,"…etmesine özel önem verildiği anlaşılmaktadır. b) Davacının Eşi İle İlgili Maddi ve Hukuki Süreç Davacının eşi Y.S.D.'nin Kara Kuvvetleri Komutanlığı emrinde P.Binbaşı olarak görev yapmakta iken 697 sayılı Kanun Hükmünde Kararname ile kamu görevinden çıkarılmasına karar verilmiştir. Öte yandan, davacının eşi hakkında yapılan ceza yargılaması sonucunda ... Ağır Ceza Mahkemesi'nin … tarihli ve E:…, K:……",DANIŞTAY KARARI
33,38,Danıştay,5,2016/57751,2712,2023-03-20,gebe×4 | travma×30 | illiyet×14 | TCK 87/88 | cenin/düşük,"…et etmesine özel önem verildiği anlaşılmaktadır. b-1) Davacının Eşi İle İlgili Maddi ve Hukuki Süreç Davacının eşi F.A'nın Jandarma Genel Komutanlığı emrinde Jandarma Binbaşı olarak görev yapmakta iken 28/10/2016 tarihli olurla görevden uzaklaştırıldığı, 689 sayılı Kanun Hükmünde Kararnamenin eki listede ismine yer verilmek suretiyle kamu görevinden çıkarıldığı, göreve iade talebiyle yapılan başvurun…",DANIŞTAY KARARI
34,37.8,Yargıtay,3,2022/8504,1652,2023-05-30,gebe×35 | travma×8 | illiyet×12 | TCK 87/88 | obstetrik komp.,"…acılar vekili dava dilekçesinde özetle; müvekkili ...'ın henüz 7 aylık hamileyken, 15.07.2016 günü amniyon kesesinden sıvı akmaya başladığını, ...'ın erken doğum yapacağı anlaşılınca saat 15.00 civarlarında acil bir şekilde hastaneye gitmesi için ambulansla Yahyalı Devlet Hastanesine ulaştırıldığını, müvekkilin buradan Kayseri Kadın ve Doğum Hastanesine sevk edildiğini, Yahyalı'dan ambulans ile saat 20.00 ci…",YARGITAY KARARI
35,37.5,Yargıtay,CG,2020/283,507,2021-10-27,gebe×3 | travma×42 | illiyet×22 | TCK 87/88 | cenin/düşük,"…lduklarını da bildiğim ..., ..., ... ..., ... ile genel sekreter yardımcıları ... ve ...'ün de olduğunu gördük...bu hareketin ... cemaatinin bize bir emri vakisi olduğunu bu şekilde anladık. Biz bu evde aslında ... cemaati mensubu olan HSYK üyeleri ve o yemeğe katılan diğer hakimlerin belirleyeceği isimler için orada toplandık. Yargıtay tetkik hakimlerinin ismi geçince evde bulunan cemaat mensubu tet…",YARGITAY KARARI
36,37.4,Yargıtay,CG,2018/565,524,2021-11-04,gebe×13 | travma×144 | illiyet×2 | TCK 87/88 | cenin/düşük | künt/batın,"…erhangi başka bir olağanüstü hâl, işkencenin uygulanması için gerekçe gösterilemez.”, Üçüncü fıkrası ise “Bir üst görevlinin veya bir kamu mercisinin emri, işkencenin haklılığına gerekçe kabul edilemez.” şeklinde düzenlenerek hiçbir hâl ve şartta işkencenin meşru ve mazur gösterilemeyeceği hüküm altına alınmıştır. Sözleşme'nin 4. maddesinin birinci fıkrası; “Her Taraf Devlet, tüm işkence fiillerinin…",YARGITAY KARARI
37,37.4,Yargıtay,CG,2016/491,455,2019-05-28,gebe×13 | travma×25 | illiyet×7 | TCK 87/88 | cenin/düşük,"…ere katılan kuruma gönderilen faturaların ekini oluşturan muayene ve tedavi belgelerinin incelenmesi olduğu, toplam 600 hastaya ilişkin 12 adet ödeme emri ile eki muayene ve tedavi belgelerinin incelenmesinde yerine göre ilgili doktor ve hastaların gıyabında tamamen usulsüz olarak belge düzenlendiği, yerine göre de ilaveler yapılmak suretiyle belgenin tahrif edildiği, belgelere usulsüz olarak düzenle…",YARGITAY KARARI
38,37,Anayasa,2,2018/1156,,2021-05-18,gebe×94 | travma×21 | TCK 87/88 | cenin/düşük | obstetrik komp.,"…2. Zübeyda AYDIN &nbsp; Başvurucular Vekili: Av. Fatih AYDIN &nbsp; I. BAŞVURUNUN KONUSU &nbsp; 1. Başvuru; tıbbi ihmal ve organizasyon kusuru sonucu ölü doğum yapılması olayıyla ilgili olarak açılan tazminat davasının eksik incelemeyle reddedilmesi nedeniyle kişinin maddi ve manevi varlığını koruma hakkının, yargılamanın uzun sürmesi nedeniyle de makul sürede yargılanma hakkının ihlal edildiği iddialarına…",ANAYASA MAHKEMESİNİN 18/5/2021 TARİHLİ VE 2018/1156 SAYILI KARARI (BİREYSEL BAŞVURU)
39,37,Yargıtay,3,2021/1841,9382,2024-07-19,gebe×2 | travma×16 | illiyet×11 | TCK 87/88 | cenin/düşük,"…k, hiyerarşik yapıya ve varsa işbölümüne uygun olarak emir ve talimat vermek, bunların yerine getirilmesini bekleyip denetlemek, gerekli olduğunda da emrine veya örgütün talimatlarına riayet etmelerini cezalandırmaktadır. Kişinin somut olayda yönetme kudretine, sevk ve idare yeteneğine fiilen sahip olup olmadığına bakılmalıdır (... E.-... S.Suç Örgütü sh.107). &nbsp; Fail, hiyerarşik olarak örgüt üye…",YARGITAY KARARI
40,36.8,Yargıtay,CG,2016/312,700,2021-12-29,gebe×39 | travma×106 | illiyet×4 | TCK 87/88 | cenin/düşük | trafik/iş kaz,"…e kendisini de kullanabileceğini söylediğini, mağdurenin de kabul ettiğini, bu görüşmeden 3-4 gün sonra ...’e ait araçla birlikte ...’a gittiklerini, Emre'de bulunan ... isimli bir kadına ait kimliğe mağdurenin fotoğrafını yapıştırmayı teklif ettiğini, bu amaçla ...'le mağdurenin bir fotoğrafçıya giderek vesikalık fotoğraf çektirdiklerini, mağdurenin fotoğrafını ...’ün kimliğine Emre'nin yapıştırdığı…",YARGITAY KARARI
41,36.7,Anayasa,GK,2015/18936,,2019-05-22,gebe×5 | travma×7 | illiyet×25 | TCK 87/88 | cenin/düşük,"…alma ve verme özgürlüğü ile ilgili uyguladığı kısıtlamalara dair bu tür kısıtlamaların yasal dayanağı, gerekliliği, gerekçesi, yetkiyi veren mahkeme emri ve temyiz hakkı ile ilgili detaylar dahil olmak üzere erişimi engellenen web siteleri veya kaldırılan içerik konusundaki bilgiyi halka zamanında ve uygun şekilde sunmaktadır.&quot; &nbsp; c. Bakanlar Komitesinin Bireysel Terörist Hareketler Konusun…",ANAYASA MAHKEMESİNİN 22/5/2019 TARİHLİ VE 2015/18936 SAYILI KARARI (BİREYSEL BAŞVURU)
42,36.5,Yargıtay,CG,2017/495,317,2022-05-10,gebe×1 | travma×144 | illiyet×15 | TCK 87/88 | cenin/düşük,"…ketin kol arka tarafında omuzdan 19 cm aşağıda, sol kol dikiş hattına 2 cm mesafede, girdi-çıktı-girdi şeklinde 0,7 cm çapında bir adet ateşli silah memri çekirdeği giriş deliğinin olduğu, söz konusu mermi çekirdeği giriş deliğinin ateşli silah ile yapılan uzak atış sonucu meydana geldiği, inceleme konusu gömlek üzerindeki delik ile ceket üzerindeki mermi çekirdeği giriş deliğinin uygunluk arz ettiği…",YARGITAY KARARI
43,36.5,Yargıtay,CG,2023/406,46,2024-02-13,gebe×1 | travma×15 | illiyet×19 | TCK 87/88 | cenin/düşük,"…hazır olmak üzere kendi iradesini örgüt iradesine terk eden kişidir. Örgüt üyeliği; örgüte katılmayı, bağlanmayı, örgüte hâkim olan hiyerarşik gücün emrine girmeyi ifade etmektedir. Örgüt üyesi örgütle organik bağ kurup faaliyetlerine katılmalıdır. Organik bağ; canlı, geçişken, etkin, faili emir ve talimat almaya açık tutan ve hiyerarşik konumunu tespit eden bağ olup üyeliğin en önemli unsurudur. Ör…",YARGITAY KARARI
